Time (s),PHI2,R_W,D0,A0
-0.0015497,0,1,1,0
-0.0015496,0,1,1,0
-0.0015495,1,0,0,0
-0.0015494,1,0,0,0
-0.0015493,1,0,0,0
-0.0015492,1,0,0,0
-0.0015491,0,0,0,0
-0.001549,0,1,0,1
-0.0015489,0,1,0,1
-0.0015488,0,1,1,1
-0.0015487,0,1,1,1
-0.0015486,1,1,1,1
-0.0015485,1,1,0,1
-0.0015484,1,1,1,1
-0.0015483,1,1,1,1
-0.0015482,1,1,1,1
-0.0015481,0,1,1,1
-0.001548,0,1,0,1
-0.0015479,0,1,0,1
-0.0015478,0,1,1,1
-0.0015477,0,1,1,1
-0.0015476,1,1,1,0
-0.0015475,1,1,0,0
-0.0015474,1,1,0,0
-0.0015473,1,1,0,0
-0.0015472,1,1,0,0
-0.0015471,0,1,0,1
-0.001547,0,1,0,1
-0.0015469,0,1,0,1
-0.0015468,0,1,1,1
-0.0015467,0,1,1,1
-0.0015466,1,1,1,1
-0.0015465,1,1,0,1
-0.0015464,1,1,0,1
-0.0015463,1,1,0,1
-0.0015462,1,1,0,1
-0.0015461,0,1,0,0
-0.001546,0,1,0,0
-0.0015459,0,1,0,0
-0.0015458,0,1,1,0
-0.0015457,0,1,1,0
-0.0015456,1,0,0,0
-0.0015455,1,0,0,0
-0.0015454,1,0,0,0
-0.0015453,1,0,0,0
